street,house_number,BEZ,HA_NAME,BAUJAHR,ARCHITEKT,GESCH_ANZ,L_NUTZUNG,L_BAUTYP,L_BAUJ,SHAPE
Alliogasse,11.0,15,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.328028587836993 48.2016658886833)
Costagasse,5.0,15,,,,4.0,Wohnnutzung,W3.5.-Mieth.s.d.Gründerzeit-Durchhäuser,1848 -1918,POINT (16.327836474495143 48.20005176978187)
Floridusgasse,39.0,21,,,,1.0,Wohnnutzung,12.-Gewerbebetriebe,1848 -1918,POINT (16.409835857952363 48.25053529844136)
Gschwandnergasse,4.0,17,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.324351859268713 48.21559193067023)
Ketzergasse,9.0,23,,,,1.0,betriebliche Nutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1848 -1918,POINT (16.317695480260713 48.12571923961848)
Eitelbergergasse,20.0,13,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1884-1918,POINT (16.291689601076815 48.1857429611678)
Murlingengasse,72.0,12,,,,2.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.334411285420483 48.17599330928227)
Gablenzgasse,100.0,16,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.3171036082434 48.20681160284504)
Schopenhauerstraße,15.0,18,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.34477287360307 48.22375668771612)
Wimbergergasse,21.0,7,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.338304712957537 48.204679244797795)
Wickhoffgasse,19.0,15,Siedlungsanlage Schmelz,,Hugo Mayer,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919-1945,POINT (16.314134341909664 48.20544446283986)
Seidengasse,40.0,7,,,,5.0,Wohnnutzung,"W3.4.-Mieth.s.d.Gründerzeit-Doppeltrakter,zweihüft. Hoftrakt",1848 -1918,POINT (16.3399692639128 48.20037809964177)
Seidlgasse,27.0,3,,1895.0,Gustav Richter,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1884-1918,POINT (16.389567563691365 48.20609074433659)
Fiakerplatz,,3,,,,0.0,öffentliche Einrichtung,Keine Angabe,nach 1945,POINT (16.403976528265353 48.19609939813115)
Hasnerstraße,32.0,16,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.331854927247846 48.20835642459005)
Hornbostelgasse,10.0,6,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.342954638264096 48.19040202980133)
Huttengasse,49.0,16,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.309465267403294 48.208483633410864)
Obere Amtshausgasse,41.0,5,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.35134011377754 48.1852122098774)
Bischof-Faber-Platz,1.0,18,,,,3.0,öffentliche Einrichtung,5.-Bauten der Erziehung und Bildung,1884-1918,POINT (16.324726080016575 48.23377090100929)
Auhofstraße,242.0,13,,1849.0,,2.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1849-1859,POINT (16.25494254075731 48.198143724502145)
Rembrandtstraße,32.0,2,,,,4.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,1848 -1918,POINT (16.373787707020846 48.22288300239321)
Joanelligasse,5.0,6,,,,3.0,Wohnnutzung,W2.3.-Bürgerhaus-Haus mit mittig liegendem Hof,1781-1848,POINT (16.357001486979787 48.19745086020077)
Rechte Wienzeile,5.0,4,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.365467451617082 48.199192800025514)
Glasauergasse,5.0,13,,,,1.0,Wohnnutzung,W2.3.-Bürgerhaus-Haus mit mittig liegendem Hof,1848 -1918,POINT (16.267809660259214 48.18868463348837)
Urbangasse,8.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.309312771896796 48.224823535446504)
Sonnleitensteig,7.0,19,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.320763851918365 48.24301829905143)
Reindorfgasse,33.0,15,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.32999683609661 48.190565026147496)
Porzellangasse,26.0,9,,1881.0,Dehm Ferdinand und Olbricht Franz,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.360892057388945 48.22108876243756)
Gärtnergasse,17.0,3,,1899.0,Firma Kupka und Orgelmeister Architekten und Stadtbaumeister,6.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.387763820962064 48.205173000624804)
Edelsinnstraße,28.0,12,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.318394135901176 48.17247774196058)
Wilhelmstraße,50.0,12,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.332883956210452 48.17595091795434)
Hietzinger Hauptstraße,7.0,13,,1885.0,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.299996887923157 48.18615596505713)
Thelemangasse,2.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.339640622373405 48.214169035339495)
Buchengasse,87.0,10,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,Keine Angabe,POINT (16.3716700189461 48.1749969505847)
Neue-Welt-Gasse,5.0,13,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.292375668989298 48.18599197780262)
Graf-Starhemberg-Gasse,32.0,4,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.371287425024526 48.18827939639045)
Wiedner Hauptstraße,64.0,4,,1912.0,Baron Arthur,6.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.36625051221339 48.19049730263014)
Einsiedlergasse,21.0,5,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.349682211034338 48.18477093828323)
Drorygasse,8.0,3,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.40361256629905 48.198784993008154)
Gusenleithnergasse,28.0,14,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.290534817058486 48.197670701252335)
Horneckgasse,6.0,17,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.323511069138693 48.2157385206812)
Floridusgasse,17.0,21,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1848 -1918,POINT (16.407005275927602 48.251321101081864)
