street,house_number,BEZ,HA_NAME,BAUJAHR,ARCHITEKT,GESCH_ANZ,L_NUTZUNG,L_BAUTYP,L_BAUJ,SHAPE
Rokitanskygasse,45.0,17,,,,3.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.330682778960266 48.22479065115673)
Rögergasse,16.0,9,keine Angabe,1896.0,Rohleder Franz Xaver und Mandeltort (Manhardt) Hugo,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.365719695616697 48.22444792950891)
Kainzgasse,10.0,17,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.310377193771476 48.223818069812566)
U-Bahn Station Stephansplatz,,1,U-Bahn Station Stephansplatz,1973.0,"Holzbauer Wilhelm, Marschalek Heinz, Ladstätter Georg und Gantar Norbert",0.0,öffentliche Einrichtung,14.-Bauten des öffentlichen und privaten Verkehrs,1946-1976,POINT (16.371904114716934 48.20824355978778)
Ungargasse,45.0,3,,1909.0,Richter Ludwig,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1884-1918,POINT (16.387648693996965 48.19957422740688)
Barmherzigengasse,3.0,3,,1910.0,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.393687656195382 48.19778269813268)
Martinstraße,33.0,18,,,,3.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.340649488229243 48.221077760195904)
Kreuzgasse,75.0,18,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.331755339888076 48.226011432992394)
Edmund-Weiß-Gasse,19.0,18,,1907.0,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1884-1918,POINT (16.332964878682578 48.23087498883969)
Clemens-Hofbauer-Platz,9.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.321390391821 48.218366802641185)
Köhlergasse,14.0,18,,1886.0,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.333919940521415 48.229760125992236)
Enenkelstraße,8.0,16,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.308988753515496 48.208908001855484)
Währinger Gürtel,1.0,18,,,,3.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.34158631010941 48.217501572567606)
Aichholzgasse,40.0,12,,,,2.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.3238265719633 48.17831193752852)
Hohenbergstraße,3.0,12,Am Tivoli,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.320103921058582 48.17515151361756)
Nothartgasse,12.0,13,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.27915856278232 48.18010810234379)
Hilschergasse,25.0,12,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.330041847746113 48.1795960437291)
Ratschkygasse,18.0,12,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.3271800607061 48.17732172910892)
Auhofstraße,239.0,13,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.255280684229827 48.19765293204272)
Badhausgasse,5.0,7,,1980.0,Zeidner Robert,,keine Angabe,Keine Angabe,Nach 1976,POINT (16.344266065210704 48.20701433788973)
Cottagegasse,62.0,19,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1919 - 1945,POINT (16.342946981089728 48.23508462834708)
Allerheiligenplatz,10.0,20,,,,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.384594145222138 48.23953559110071)
Schliemanngasse,9.0,21,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.402916164906845 48.255584862667604)
Gentzgasse,2.0,18,,,,3.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,vor 1848,POINT (16.348039317014265 48.22634760464145)
Röntgengasse,37.0,17,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.28370911173414 48.22619867519031)
Billrothstraße,55.0,19,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.348839847389193 48.23984664313909)
Peter-Jordan-Straße,106.0,19,,,,1.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.322419512223025 48.2398238653586)
Sulzweg,10.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.29260107697959 48.25360304757829)
Salisstraße,5.0,14,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.284898626125823 48.19760807296435)
Hellgasse,7.0,16,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.32820061515386 48.2132080705934)
Hameaustraße,51.0,19,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.290196071032476 48.25140553492964)
Degengasse,65.0,16,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.310123972385455 48.215978638797544)
Malzgasse,11.0,2,,1864.0,Donat Woita,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.376776637664584 48.22064861362397)
Hameaustraße,45.0,19,,,,2.0,Sonstige,"W6.2.-Sonderwohnbauten-Heim,Pflegeanstalt,Spitalsbauten",nach 1945,POINT (16.29096231272751 48.251666370084656)
Ketzergasse,360.0,23,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.261502689342166 48.13357465654247)
Pelzgasse,16.0,15,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.335858488854903 48.199388547992)
Cervantesgasse,13.0,14,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.308619896797364 48.19747419381264)
Habichergasse,8.0,16,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.32772982109213 48.205667313723666)
Kienmayergasse,4.0,14,,,,2.0,Wohnnutzung,"W1.4.-bäuerl.dom.Baustrukt.-Wohn-u.Wirtschaftsbauten,modern",1848 -1918,POINT (16.316691246374 48.19933123646245)
Ruckergasse,44.0,12,,,,4.0,öffentliche Einrichtung,5.-Bauten der Erziehung und Bildung,nach 1945,POINT (16.32624819460857 48.17749738122012)
Kleine Pfarrgasse,5.0,2,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.377097548039597 48.219904132471555)
Taborstraße,11.0,2,,1898.0,Anton Lang,6.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.379620415835795 48.21417210533308)
Dr.-Karl-Lueger-Platz,5.0,1,Post- und Telegraphen- Direktion Wien,1902.0,Simony Leopold,6.0,betriebliche Nutzung,"W3.4.-Mieth.s.d.Gründerzeit-Doppeltrakter,zweihüft. Hoftrakt",1884-1918,POINT (16.37969165141998 48.207889058171276)
Himmelpfortgasse,8.0,1,ehe. Winterpalais Prinz Eugen (heute BM f. Finanzen),1695.0,,4.0,Sonstige,W2.5.-Bürgerhaus-Paläste,1683-1740,POINT (16.372974349983856 48.205525380145424)
Kolonitzplatz,7.0,3,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.390522335952717 48.20934737144981)
Grabmayrgasse,3.0,21,,,,4.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.39319647707117 48.256450561211494)
Maria-Theresien-Straße,18.0,1,,1870.0,Ferstel Heinrich,5.0,betriebliche Nutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.36602783416965 48.21624623041034)
Kalvarienberggasse,17.0,17,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.331856846285934 48.21601432602878)
Grimmgasse,46.0,15,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.327081675103486 48.190834181363854)
Gerichtsgasse,7.0,21,,1911.0,,0.0,keine Angabe,Keine Angabe,1884-1918,POINT (16.399531597165335 48.263801202165205)
Salzergasse,28.0,9,,,,3.0,öffentliche Einrichtung,5.-Bauten der Erziehung und Bildung,nach 1945,POINT (16.357076374325807 48.227381879399815)
Heiligenstädter Straße,125.0,19,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.362555655988402 48.24973588848233)
Grundsteingasse,51.0,16,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.332903305560112 48.21040907091669)
Leithastraße,12.0,20,,1906.0,Simona Alois,,keine Angabe,Keine Angabe,1884-1918,POINT (16.375117922701484 48.239006978841076)
Andergasse,58.0,17,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.28688098900321 48.22455819024905)
Zeillergasse,40.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.308633289620143 48.224977518295475)
Amalienstraße,14.0,13,,,,3.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.272459006016536 48.19146891467516)
Einwanggasse,15.0,14,,1893.0,Heinrich Staud,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.301561299784616 48.19006149598311)
Matznergasse,20.0,14,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.30405196954475 48.195788576345784)
Lenneisgasse,4.0,14,,,,7.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.307781132816903 48.195135837846664)
Argentinierstraße,40.0,4,,1861.0,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.37507658555471 48.19108955482895)
Dapontegasse,9.0,3,,1907.0,Reitzer Jakob,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.388238688166055 48.19796435230816)
Sechshauser Straße,47.0,15,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.32979135968271 48.18699604352917)
Lerchengasse,22.0,8,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.345783525424466 48.20900019334135)
Ottakringer Straße,50.0,17,,,,2.0,betriebliche Nutzung,6.-Bauten der öffentlichen und privaten Wirtschaft,1848 -1918,POINT (16.334208686570257 48.21465560549467)
Gymnasiumstraße,32.0,18,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.34507720137871 48.23011170253436)
Neulerchenfelder Straße,5.0,16,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.33786927944099 48.2103327506964)
Hadikgasse,84.0,14,,1875.0,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1860-1883,POINT (16.300558577845326 48.18896455320599)
Favoritenstraße,139.0,10,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.379678921547548 48.17127835426661)
Blumengasse,27.0,17,,,,3.0,betriebliche Nutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.335738873658343 48.22036180970514)
Nisselgasse,10.0,14,,,,2.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1860-1883,POINT (16.30449265321118 48.18897847369216)
Braungasse,47.0,17,,,,1.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.29983604656163 48.22670788616737)
Ungargasse,18.0,3,,1899.0,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.386959158384194 48.202725133034285)
Kobingergasse,4.0,12,,,,2.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,1848 -1918,POINT (16.336839903894106 48.185828172390735)
Wenzgasse,7.0,13,,,,3.0,öffentliche Einrichtung,5.-Bauten der Erziehung und Bildung,1919-1945,POINT (16.2920122747383 48.18396943529437)
Dörfelstraße,2.0,12,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.334099020954167 48.177211712350015)
Schirnböckgasse,17.0,13,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.278910074943255 48.17502030688985)
Eichenstraße,2.0,12,,,,7.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.34433529331351 48.17798207086001)
Hetzendorfer Straße,5.0,12,,,,1.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.32275880045997 48.16167416018299)
Faistauergasse,101.0,13,,1928.0,Karl Schartelmüller,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919-1945,POINT (16.276186255897912 48.175809157552386)
Luftbadgasse,15.0,6,Heiliger Joseph (frühere Bebauung),1894.0,List Franz,6.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1884-1918,POINT (16.354919811708193 48.19734959566307)
Webgasse,20.0,6,,,,8.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.346872656058423 48.19409013010693)
Haymerlegasse,36.0,16,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.3277735989984 48.20864821016726)
Koppstraße,69.0,16,,,,6.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.322934614250986 48.207814624647284)
Gersthofer Straße,30.0,18,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1919 - 1945,POINT (16.32776387510863 48.23447289996459)
Seeböckgasse,23.0,16,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.315655149701247 48.21793182229991)
Nußdorfer Platz,3.0,19,,,,3.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1781-1848,POINT (16.366327064313932 48.259865559947805)
Hasnerstraße,62.0,16,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.325980390719344 48.20925573761868)
Talgasse,8.0,15,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.334178728110974 48.19214222897675)
Saarplatz,20.0,19,,,,4.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.346972268738813 48.24608224560968)
Gurkgasse,47.0,14,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.310958816802334 48.19757392515475)
Paulinengasse,9.0,18,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.32926916180895 48.22711279755711)
Hildebrandgasse,25.0,18,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.33795784282224 48.222511979855135)
Draskovichgasse,9.0,14,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.31200782383779 48.2011982435061)
Goldschlagstraße,209.0,14,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.299041205820348 48.194384303183305)
Hickelgasse,11.0,14,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1919 - 1945,POINT (16.30979789148536 48.197141989702644)
Liebhartsgasse,9.0,16,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.329459047189044 48.20556868149155)
Bonygasse,68.0,12,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.321622931501388 48.17977524458552)
Friesenplatz,1.0,10,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,Keine Angabe,POINT (16.365450197077028 48.17153935200494)
Hoher Markt,10.0,1,"Ankerhof, Galvagnihof",1912.0,Gotthilf Ernst,6.0,betriebliche Nutzung,6.-Bauten der öffentlichen und privaten Wirtschaft,1884-1918,POINT (16.373393295149185 48.21089842430441)
Braunhirschengasse,9.0,15,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.32658450897731 48.187527503020995)
Rosasgasse,19.0,12,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.322634457594923 48.18165999605529)
Hahngasse,6.0,9,,1895.0,Stierlin Hermann,5.0,öffentliche Einrichtung,"W3.4.-Mieth.s.d.Gründerzeit-Doppeltrakter,zweihüft. Hoftrakt",1884-1918,POINT (16.365847934421236 48.21975875297568)
Lerchenfelder Straße,128.0,8,,,,5.0,Wohnnutzung,"W3.4.-Mieth.s.d.Gründerzeit-Doppeltrakter,zweihüft. Hoftrakt",1848 -1918,POINT (16.342197206519938 48.208001561597115)
Stolzenthalergasse,4.0,8,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.34189586553021 48.20833297725831)
Lienfeldergasse,33.0,16,,,,5.0,betriebliche Nutzung,6.-Bauten der öffentlichen und privaten Wirtschaft,nach 1945,POINT (16.314242865055164 48.21597679876686)
Hermanngasse,12.0,7,,1876.0,König Karl,4.0,Wohnnutzung,"W3.4.-Mieth.s.d.Gründerzeit-Doppeltrakter,zweihüft. Hoftrakt",1860-1883,POINT (16.347098453484495 48.201464022990834)
Neubaugasse,63.0,7,,1901.0,Beer Josef,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1884-1918,POINT (16.34878278597996 48.20388527679668)
Anton-Langer-Gasse,10.0,13,,,,1.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",vor 1848,POINT (16.28257479429304 48.17313663280948)
Hellwagstraße,14.0,20,,,,8.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.380281763855454 48.237159353101575)
Huleschgasse,10.0,19,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.351644220127323 48.25170549037222)
Boltzmanngasse,12.0,9,,1906.0,Hatschek Arnold und Gärber,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.356487880260623 48.22217384662823)
Lechnerstraße,1.0,3,Hanusch-Hof,1924.0,ZV BDA Robert Örley,6.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919-1945,POINT (16.408136360258062 48.197175067372555)
Blaselgasse,32.0,18,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.310782669087917 48.2375066866501)
Weiglgasse,9.0,15,,,,6.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.32297775084054 48.18699816374001)
Floridsdorfer Hauptstraße,35.0,21,,,,6.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.396190624528185 48.256343456798305)
Hütteldorfer Straße,70.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.320141635459716 48.1991491155671)
Linzer Straße,96.0,14,,,,6.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,1919 - 1945,POINT (16.30307758908032 48.19387004195416)
Goldschlagstraße,83.0,15,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.320556336569524 48.1943534383709)
Gierstergasse,12.0,12,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.33474697380273 48.1831488050866)
Bethlengasse,11.0,12,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.308570300528558 48.16955595843372)
Haberlgasse,11.0,16,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.328502305605706 48.20587646003623)
Mörikeweg,5.0,16,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.29089507277349 48.21353758962387)
Hernalser Hauptstraße,118.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.324389050684104 48.22066158369143)
Lorenz-Mandl-Gasse,47.0,16,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.306918083757267 48.21127999499037)
Hardtmuthgasse,35.0,10,,,,0.0,Wohnnutzung,Keine Angabe,1848 -1918,POINT (16.374086420390995 48.16943878291274)
Wienerbergstraße,10.0,12,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.33998524707201 48.171330065081904)
Edmund-Weiß-Gasse,21.0,18,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.33256334894381 48.230970844428235)
Liechtensteinstraße,64.0,9,,,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.356836690377712 48.22645292622695)
Cumberlandstraße,32.0,14,,,,0.0,betriebliche Nutzung,6.-Bauten der öffentlichen und privaten Wirtschaft,nach 1945,POINT (16.305332632852103 48.19201329349609)
Michaelerstraße,30.0,18,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.344962413009217 48.22948605545595)
Arnsteingasse,12.0,15,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.331705238394775 48.18892932257423)
Hasnerstraße,41.0,16,,,,3.0,öffentliche Einrichtung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.330904109304093 48.208259348447235)
Haberlgasse,44.0,16,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.32994375291931 48.20919108821019)
Blumberggasse,21.0,16,,,,3.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,1848 -1918,POINT (16.327145484245552 48.212814989583336)
Clementinengasse,2.0,15,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.33686768579406 48.19127016817073)
Schweglerstraße,38.0,15,,,,4.0,Wohnnutzung,W3.5.-Mieth.s.d.Gründerzeit-Durchhäuser,1848 -1918,POINT (16.32741825771904 48.199961716582706)
Richard-Wagner-Platz,9.0,16,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.326871295683173 48.2088757594078)
Hermanngasse,17.0,7,Zum Schwarzen Mohr,,,3.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,vor 1848,POINT (16.34678756993685 48.20214969608118)
Spitalgasse,1.0,9,,1903.0,,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.3508263609737 48.2152351941153)
Laskegasse,27.0,12,,,,3.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.314619923615435 48.170970363874424)
Paradisgasse,30.0,19,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.347178242917987 48.24844050198686)
Sagedergasse,8.0,12,,,,2.0,betriebliche Nutzung,12.-Gewerbebetriebe,nach 1945,POINT (16.322352715483397 48.160648696837924)
Anton-Bosch-Gasse,10.0,21,,,,2.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.387346878385593 48.269359812093256)
Dietrichgasse,24.0,3,,,,3.0,betriebliche Nutzung,12.-Gewerbebetriebe,1848 -1918,POINT (16.403403318609158 48.19934836193311)
Bacherplatz,9.0,5,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.35458751423099 48.1878652839462)
