addr_street,addr_number,addr_building,addr_letter,addr_district,comm_type,comm_num,comm_room_num,data_series,data_buildingdate,data_reconstructiondate,data_buildingarea,data_livingarea,data_nonolivingarea,data_stairs,data_storeys,data_residents,data_mansardarea,eng_heatingcentral,eng_heatingauto,eng_heatingfire,eng_hotwater,eng_hotwatergas,eng_hotwaterwood,eng_electro,eng_gascentral,eng_gasnoncentral,eng_refusechute,flat_type,flat_num,flat_room_num,internal_num,lift_exploitfromdate,lift_reconstructiondate,lift_repairdate,outclean_all,param_crdate,param_ukname,param_failure,repair_year,repair_job,rfc_shaftcount,roof_metalarea,seng_liftcount,seng_pzu,special_basementarea,number,address,coordinates
Киевская ул.,24/22,,А,Московский,"2 комн., 3 комн., 5 комн., 6 комн.","3, 18, 1, 1","6, 54, 5, 6",Индивидуальный,1930,,6335.5,4654.0,987.5,11,5,302,,0.0,1,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","1, 32, 25","1, 64, 75",7,,,,5400.0,02.02.2011,"ООО ""Жилкомсервис № 1 Московского района""",0.0,2007; 2008; 2008; 2014; 2015; 2015,Ремонт или замена системы канализования и водоотведения; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления; Расходы на изготовление проектно-сметной документации; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения,,2108.0,,11,978.0,1,"г.Санкт-Петербург, Киевская улица, дом 24/22, литера А","59.903573417,30.32885093"
Лесной пр.,39,1-3,А,Выборгский,"2 комн., 3 комн., 4 комн., 5 комн.","11, 29, 18, 2","22, 87, 72, 10",индивидуальный,1932,,10793.1,9291.2,481.7,15,5,575,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"2 комн., 3 комн., 4 комн., 5 комн.","50, 29, 5, 2","100, 87, 20, 10",1,,,,3076.0,05.03.2009,"ООО ""Жилкомсервис № 1 Выборгского района""",0.0,2005; 2011; 2017; 2018,Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления; Ремонт или замена системы отопления,,3091.0,,6,761.0,2,"г.Санкт-Петербург, Лесной проспект, дом 39, корпус 1, литера А","59.981339024,30.344940571"
Новочеркасский пр.,41/14,,A,Красногвардейский,"2 комн., 3 комн., 5 комн., 6 комн., 7 комн.","5, 8, 4, 2, 1","10, 24, 20, 12, 7",индивидуальный,1957,,13817.8,10613.5,898.6,5,7,387,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,1,"2 комн., 3 комн., 5 комн.","69, 54, 2","138, 162, 10",,1981,2003.2004,,7675.0,05.03.2009,"ТСЖ ""Лира""",0.0,2002; 2003; 2004; 2006; 2006; 2008; 2010; 2013,Ремонт трубопровода (розлива) теплоснабжения в подвальном помещении; Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт трубопровода (розлива) канализации в подвальнгом помещении; Ремонт трубопровода (розлива0)холодного водоснабжения в подвальном помещении; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт фасадов без утепления; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов,17,3150.0,5,5,391.0,3,"г.Санкт-Петербург, Новочеркасский проспект, дом 41/14, литера А","59.92930475,30.410388758"
Полярников ул.,12,,Б,Невский,"2 комн., 3 комн., 4 комн.","1, 6, 8","2, 18, 32",инд,1951,,6376.6,4734.79,209.5,5,6,250,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","4, 34, 14, 10","4, 68, 42, 40",,,,,3818.0,07.02.2013,"ООО ""Жилкомсервис № 2 Невского района""",0.0,2007; 2007; 2012,Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш,,1579.0,5,5,444.0,4,"г.Санкт-Петербург, улица Полярников, дом 12, литера Б","59.875888506,30.436156571"
Ж. Егоровой ул.,10,1,А,Выборгский,"2 комн., 3 комн.","8, 13","16, 39",1 ЛГ 606,1985,,15142.1,14039.5,0.0,7,9,713,,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","49, 70, 96, 8","49, 140, 288, 32",,1985,,,9072.0,07.12.2008,"ООО ""Жилкомсервис № 1 Выборгского района""",0.0,1996; 2011; 2012; 2012,Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения,7,,7,7,2262.0,5,"г.Санкт-Петербург, улица Жени Егоровой, дом 10, корпус 1, литера А","60.064144092,30.311062773"
Белы Куна ул.,19,2,А,Фрунзенский,"2 комн., 3 комн.","10, 16","20, 48",1-504-3,1967,,7591.1,6911.0,,7,5,426,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"2 комн., 3 комн., 4 комн.","94, 18, 1","188, 54, 4",,,,,5189.0,07.12.2008,"ООО ""Управляющая компания ""Гелема""",0.0,2006; 2006,Благоустройство придомовой территории; Ремонт и восстановление озеленения,,,,7,1679.0,6,"г.Санкт-Петербург, улица Белы Куна, дом 19, корпус 2, литера А","59.874917019,30.395502149"
Краснодонская ул.,9,,А,Красногвардейский,"2 комн., 3 комн.","2, 5","4, 15",Индивидуальный,1956,,4793.5,4329.5,,4,5,163,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"2 комн., 3 комн.","48, 15","96, 45",4,,,,3332.0,07.12.2008,"ООО ""Жилкомсервис №1 Красногвардейского района""",0.0,2008; 2008; 2011; 2011,Ремонт трубопровода (розлива)  горячего водоснабжения в подвальном помещении; Ремонт трубопровода (розлива) теплоснабжения в подвальном помещении; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления,,1539.0,,4,1230.0,7,"г.Санкт-Петербург, Краснодонская улица, дом 9, литера А","59.954745126,30.413336377"
Днепропетровская ул.,43,,А,Центральный,2 комн.,1,2,Индивидуальный,1916,,945.0,740.88,114.12,1,4,37,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"2 комн., 3 комн.","11, 1","22, 3",2,,,,1492.0,07.12.2008,"ООО ""Жилкомсервис № 2 Центрального района""",0.0,2001; 2011,Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления,,413.0,,1,,8,"г.Санкт-Петербург, Днепропетровская улица, дом 43, литера А","59.916082746,30.360935991"
Кирочная ул.,8,,А,Центральный,"3 комн., 5 комн., 6 комн., 7 комн.","1, 2, 2, 4","3, 10, 12, 30",инд.,1903,,11143.5,6418.5,3241.0,13,4,174,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.","13, 22, 5, 7, 2, 1, 2","13, 44, 15, 28, 10, 6, 16",,1969,,,3266.0,08.02.2013,"ООО ""Жилкомсервис № 1 Центрального района""",0.0,2000; 2001; 2013; 2014; 2015; 2019; 2019; 2019; 2019,Ремонт конструкций и замена покрытий крыш; Ремонт подвальных помещений; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения,,4841.0,3,,734.0,9,"г.Санкт-Петербург, Кирочная улица, дом 8, литера А","59.944211945,30.352771346"
Кавалергардская ул.,30,,Б,Центральный,"2 комн., 3 комн., 4 комн.","2, 3, 2","4, 9, 8",Индивидуальный,1962,,7726.4,5907.4,831.0,3,7,249,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","1, 37, 31, 4","1, 74, 93, 16",,"2 ед.- 1992, 1 ед.- 1993 г.",,,2994.0,10.02.2012,"ООО ""Жилкомсервис № 3 Центрального района""",0.0,1993; 2010; 2011,Капитальный ремонт лифтов (с заменой крупных узлов); Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт конструкций и замена покрытий крыш,3,1619.0,3,3,543.0,10,"г.Санкт-Петербург, Кавалергардская улица, дом 30, литера Б","59.947337134,30.382367074"
Лесопарковая ул.,8,,А,Красногвардейский,3 комн.,2,6,Индивидуальный,1959,,714.1,655.1,,2,2,39,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","4, 4, 2","4, 8, 6",,,,,1403.0,10.02.2012,"ООО ""Жилкомсервис № 2 Красногвардейского района""",0.0,2018,Ремонт конструкций и замена покрытий крыш,,625.2,,2,,11,"г.Санкт-Петербург, Лесопарковая улица, дом 8, литера А","59.97077486,30.51111854"
Антонова-Овсеенко ул.,21,,Я,Невский,"2 комн., 3 комн., 4 комн.","2, 23, 7","4, 69, 28",1ЛГ606М13,1973,,30311.5,26259.6,110.8,13,9,1232,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","109, 127, 179, 6","109, 254, 537, 24",2,1973,,2010,15023.0,10.02.2012,"ООО ""Жилкомсервис № 1 Невского района""",0.0,2007; 2007; 2010; 2011; 2011; 2012,Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы отопления,13,,13,13,2968.0,12,"г.Санкт-Петербург, улица Антонова-Овсеенко, дом 21, литера Я","59.908922458,30.473035239"
"пос. Шушары, Пушкинская ул.",2,,А,Пушкинский,"3 комн., 4 комн.","1, 1","3, 4",Индивидуальный,1955,,1425.28,1178.68,126.6,2,3,48,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн.","1, 8, 4, 1","1, 16, 12, 4",1,,,,,10.02.2012,"ООО ""Жилкомсервис № 1 Пушкинского района""",0.0,2002; 2010; 2010,Ремонт фасадов без утепления; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш,,765.0,,2,436.4,13,"Санкт-Петербург, посёлок Шушары, Пушкинская улица, дом 2, литера А","59.809234265,30.383000419"
Стачек пр.,136,2,А,Кировский,3 комн.,1,3,1-528-КП-40,1968,,2380.99,1971.89,43.1,1,9,104,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,"1 комн., 2 комн., 3 комн.","18, 18, 8","18, 36, 24",,1968,2018,,5390.0,12.04.2009,"ООО ""Жилкомсервис № 3 Кировского района""",0.0,2002; 2006; 2006; 2018,Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов,1,,1,1,222.0,14,"г.Санкт-Петербург, проспект Стачек, дом 136, корпус 2, литера А","59.854914721,30.250077404"
Большая Подьяческая ул.,23,,А,Адмиралтейский,"3 комн., 4 комн.","1, 3","3, 12",Инд.,1858,,1892.5,1596.2,105.6,3,4,86,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн.","5, 7, 7, 1","5, 14, 21, 4",2,,,,166.0,12.04.2009,"ООО ""Жилкомсервис № 2 Адмиралтейского района""",0.0,2007; 2008; 2008; 2008; 2011; 2013; 2017; 2017; 2018,Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт или замена системы электроснабжения; Ремонт фасадов без утепления; Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Разные работы; Ремонт или замена системы отопления; Ремонт фундаментов,,817.0,,,67.8,15,"г.Санкт-Петербург, Большая Подьяческая улица, дом 23, литера А","59.923641415,30.304802689"
Народного Ополчения пр.,185,,А,Кировский,2 комн.,1,2,1ЛГ-507-47,1968,,3947.26,3511.86,,4,5,190,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","30, 19, 30","30, 38, 90",,,,,1736.0,12.04.2009,"ООО ""Жилкомсервис № 1 Кировского района""",0.0,1988; 1996; 2002,Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Ремонт конструкций и замена покрытий крыш,,,,4,686.6,16,"г.Санкт-Петербург, проспект Народного Ополчения, дом 185, литера А","59.824913317,30.212974343"
Большевиков пр.,61,3,Л,Невский,2 комн.,10,20,ОД-6,1963,,4601.9,4139.0,,6,5,228,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","10, 60, 10","10, 120, 30",,,,,2105.0,13.04.2009,"ООО ""Жилкомсервис № 1 Невского района""",0.0,2008; 2008; 2017,Асфальтирование и замощение придомовой территории; Ремонт и восстановление озеленения; Ремонт конструкций и замена покрытий крыш,,,,6,721.3,17,"г.Санкт-Петербург, проспект Большевиков, дом 61, корпус 3, литера Л","59.881407129,30.483919685"
Стародеревенская ул.,30,,А,Приморский,3 комн.,1,3,504,1990,,12701.3,11134.7,11.6,5,10,622,,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","40, 79, 79, 20","40, 158, 237, 80",1,1991,,,8458.0,13.04.2009,"ООО ""Жилкомсервис №1 Приморского района""",0.0,2005; 2005; 2008; 2009,Асфальтирование и замощение придомовой территории; Ремонт и восстановление озеленения; Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов (с заменой крупных узлов),5,,5,5,1404.0,18,"г.Санкт-Петербург, Стародеревенская улица, дом 30, литера А","60.005044581,30.245618241"
Подвойского ул.,34,1,А,Невский,"2 комн., 3 комн.","7, 7","14, 21",1 ЛГ 602 В,1971,,21690.7,20016.5,19.5,10,9,979,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,"1 комн., 2 комн., 3 комн.","13, 169, 171","13, 338, 513",1,1971,,,8791.0,13.04.2009,"ООО ""Жилкомсервис № 1 Невского района""",0.0,,,10,,10,10,2105.0,19,"г.Санкт-Петербург, улица Подвойского, дом 34, корпус 1, литера А","59.916278269,30.487417337"
Дыбенко ул.,27,2,О,Невский,"2 комн., 3 комн.","3, 3","6, 9",1ЛГ-502В-6,1969,,4797.7,4341.7,0.0,6,5,253,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"2 комн., 3 комн.","57, 27","114, 81",,,,,3788.0,13.04.2009,"ООО ""Жилкомсервис № 1 Невского района""",0.0,2008; 2008; 2008; 2010,Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш,,,,6,952.6787,20,"г.Санкт-Петербург, улица Дыбенко, дом 27, корпус 2, литера О","59.904665921,30.479423416"
Партизана Германа ул.,45,,А,Красносельский,"2 комн., 3 комн.","14, 24","28, 72",Лг - 600,1971,,10572.6,9390.8,,5,9,575,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","17, 58, 65, 1","17, 116, 195, 4",,1971,,,5439.0,13.04.2009,"ООО ""Жилищник""",0.0,1993; 1993; 1993; 1993; 1996; 2005; 2007; 2008; 2008; 2008; 2009; 2009; 2014; 2014; 2014,Благоустройство придомовой территории; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или восстановление ОДС; Благоустройство придомовой территории; Ремонт или восстановление ОДС; Благоустройство придомовой территории; Ремонт или замена системы канализования и водоотведения; Ремонт фасадов без утепления; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения,5,,5,5,775.1,21,"г.Санкт-Петербург, улица Партизана Германа, дом 45, литера А","59.82583559,30.173239554"
Бармалеева ул.,10,,А,Петроградский,3 комн.,2,6,Инд.,1902,1963,1228.5,946.5,172.0,1,5,39,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"2 комн., 3 комн.","13, 2","26, 6",,,,,247.0,14.12.2009,"ООО ""Жилкомсервис № 1 Петроградского района""",0.0,2012,Ремонт конструкций и замена покрытий крыш,,415.0,,1,147.0,22,"г.Санкт-Петербург, Бармалеева улица, дом 10, литера А","59.964163811,30.305789509"
Дибуновская ул.,4,,А,Приморский,3 комн.,1,3,Индивидуальный,1949,,813.6,547.7,,2,2,30,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"2 комн., 3 комн.","4, 3","8, 9",,,,,2549.0,16.03.2010,"ООО ""Жилкомсервис №2 Приморского района""",0.0,2006; 2008; 2008; 2008; 2018; 2018; 2019; 2019; 2019,Ремонт фасадов без утепления; Асфальтирование и замощение придомовой территории; Ремонт  (замена)изношенных внутриквартальных   инженерных наружных сетей  (вторичные сети)  с присоединением к существующим   магистральным сетям при расстоянии от ввода до точки подключения к магистралям до 150 м; Ремонт и восстановление озеленения; Ремонт или замена системы отопления; Ремонт фасадов без утепления; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы холодного водоснабжения,,424.0,,,342.0,23,"г.Санкт-Петербург, Дибуновская улица, дом 4, литера А","59.98604789,30.283258892"
Демьяна Бедного ул.,14,3,А,Калининский,"2 комн., 3 комн.","4, 11","8, 33",1ЛГ-600-А-5,1972,,14388.6,13045.2,,7,9,676,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","35, 86, 113, 2","35, 172, 339, 8",,1973,,,,16.03.2010,ООО «Жилкомсервис № 1 Калининского района»,0.0,1994; 2007; 2008; 2008; 2008; 2016; 2018; 2018; 2018,Ремонт фасадов без утепления; Капитальный ремонт лифтов (с заменой крупных узлов); Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или восстановление ОДС; Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы холодного водоснабжения,,,7,7,2206.0,24,"г.Санкт-Петербург, улица Демьяна Бедного, дом 14, корпус 3, литера А","60.040481281,30.379646343"
Садовая ул.,91,,А,Адмиралтейский,"4 комн., 6 комн.","1, 1","4, 6",Индивидуальный,1847,,2309.4,1444.47,590.93,3,4,84,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"2 комн., 3 комн., 4 комн.","7, 7, 1","14, 21, 4",15,,,,214.0,16.03.2010,"ООО ""Жилкомсервис № 1 Адмиралтейского района""",0.0,2007; 2007; 2007; 2015,Благоустройство придомовой территории; Ремонт или замена системы холодного водоснабжения; Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш,,991.0,,3,50.8,25,"г.Санкт-Петербург, Садовая улица, дом 91, литера А","59.919101077,30.291323458"
Жуковского ул.,39,,А,Центральный,4 комн.,1,4,Индивидуальный,1865,1972,1343.57,958.57,265.0,2,4,23,,0.0,1,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн.","1, 4, 5, 2","1, 8, 15, 8",4,,,,281.0,16.03.2010,"ООО ""Жилкомсервис № 1 Центрального района""",0.0,2012; 2013; 2013; 2014,Расходы на изготовление проектно-сметной документации; Монтаж ИТП; Ремонт или замена системы отопления; Ремонт конструкций и замена покрытий крыш,,539.0,,2,241.6,26,"г.Санкт-Петербург, улица Жуковского, дом 39, литера А","59.935363655,30.35719091"
Шаумяна пр.,38,,А,Красногвардейский,2 комн.,1,2,1-335,1961,,3876.25,3581.05,,4,5,192,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","30, 19, 30","30, 38, 90",,,,,3747.0,16.03.2010,"ООО ""Жилкомсервис №1 Красногвардейского района""",0.0,2004; 2004; 2004; 2004; 2008,Ремонт конструкций и замена покрытий крыш; Ремонт трубопровода (розлива) горячего водоснабжения в подвальном помещении; Ремонт трубопровода (розлива) теплоснабжения в подвальном помещении; Ремонт трубопровода (розлива) холодного водоснабжения в подвальном помещении; Ремонт фасадов без утепления,,,,4,810.0,27,"г.Санкт-Петербург, проспект Шаумяна, дом 38, литера А","59.927645543,30.4220288"
Боровая ул.,62,,Б,Фрунзенский,"2 комн., 3 комн.","2, 5","4, 15",Индивидуальный проект,1905,1979,1839.1,1645.0,,1,5,78,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"2 комн., 3 комн.","8, 5","16, 15",,1981,2017,,78.0,16.03.2010,"ООО ""Жилкомсервис № 1 Фрунзенского района""",0.0,2008; 2008; 2011; 2017,Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления; ТВР чердачных помещений; Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов,,615.0,1,1,417.9,28,"г.Санкт-Петербург, Боровая улица, дом 62, литера Б","59.913469461,30.344024621"
Пирогова пер.,16,,А,Адмиралтейский,"3 комн., 4 комн., 5 комн.","3, 2, 1","9, 8, 5",Индивидуальный,1846,1974,2015.6,1660.1,151.2,4,3,77,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн.","2, 5, 6, 3","2, 10, 18, 12",3,,,,920.0,19.10.2010,"ООО ""Жилкомсервис № 2 Адмиралтейского района""",0.0,2007; 2008; 2008; 2008; 2012,Ремонт или замена системы отопления; Благоустройство придомовой территории; Ремонт и восстановление озеленения; Ремонт или замена системы электроснабжения; Ремонт фасадов без утепления,,1008.0,,2,,29,"г.Санкт-Петербург, переулок Пирогова, дом 16, литера А","59.928638838,30.301375518"
Юных Пионеров ул.,15,,А,Красносельский,4 комн.,1,4,1-528 КП,1973,,12151.6,11029.8,,6,9,649,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","20, 88, 90, 17","20, 176, 270, 68",,1973,,,3623.0,19.10.2010,"ООО ""ФЦ ГЦКС""",0.0,2000; 2000; 2003; 2005; 2011; 2011; 2012,Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Прочие работы по благоустройству; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов,6,,6,6,1241.1,30,"Санкт-Петербург, город Красное Село, улица Юных Пионеров, дом 15, литера А","59.734675482,30.078909449"
Черной речки наб.,24,,А,Приморский,"2 комн., 3 комн., 4 комн.","2, 3, 2","4, 9, 8",Индивидуальный,1961,,5438.2,4240.0,701.2,5,5,180,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн.","5, 39, 14, 3","5, 78, 42, 12",,,,,5894.0,19.10.2010,"ООО ""Жилкомсервис №2 Приморского района""",0.0,1987; 2007,Ремонт или замена системы отопления; Ремонт конструкций и замена покрытий крыш,,1683.0,,5,1263.0,31,"г.Санкт-Петербург, набережная Чёрной речки, дом 24, литера А","59.989074921,30.288537818"
Широкая ул.,6,,А,Кронштадтский,3 комн.,1,3,Индивидуальный,1970,,1800.88,1605.58,,2,5,94,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","20, 10, 9","20, 20, 27",,,,,1741.0,19.10.2010,"ООО ""Жилкомсервис Кронштадтского района""",0.0,2006; 2008,Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш,,,,2,359.1,32,"Санкт-Петербург, город Кронштадт, Широкая улица, дом 6, литера А","59.994151625,29.781799763"
Юных Пионеров ул.,18,3,А,Красносельский,3 комн.,3,9,1 ЛГ- 507 П,1995,,5744.4,4945.8,,4,5,233,,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,"1 комн., 2 комн., 3 комн.","20, 20, 37","20, 40, 111",,,,,7414.0,19.10.2010,"ООО ""Жилкомсервис № 2 Красносельского района""",0.0,2008; 2008; 2009,Прочие работы по благоустройству; Разные работы; Ремонт конструкций и замена покрытий крыш,4,,,4,1391.0,33,"Санкт-Петербург, город Красное Село, улица Юных Пионеров, дом 18, корпус 3, литера А","59.733621356,30.077381036"
Декабристов ул.,8,,А,Адмиралтейский,"2 комн., 3 комн., 4 комн.","2, 4, 3","4, 12, 12",Индивидуальный,1865,,2043.6,1470.5,288.8,4,4,62,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн.","3, 4, 3, 1","3, 8, 9, 4",3,,,,348.0,19.10.2010,"ООО ""Жилкомсервис № 2 Адмиралтейского района""",0.0,2002; 2003; 2003; 2003; 2005; 2007; 2015,Ремонт или замена системы отопления; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт или замена системы горячего водоснабжения; Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш,,1090.0,,1,247.8,34,"г.Санкт-Петербург, улица Декабристов, дом 8, литера А","59.928564153,30.30612122"
Ключевая ул.,15,,А,Калининский,2 комн.,4,8,1-335-30,1963,,5076.9,4548.0,,5,5,250,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","10, 71, 15","10, 142, 45",,,,,4970.0,19.10.2010,ООО «Жилкомсервис № 3 Калининского района»,0.0,2010; 2010; 2010; 2010,Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш,,,,5,902.0,35,"г.Санкт-Петербург, Ключевая улица, дом 15, литера А","59.974398372,30.406387387"
Лиговский пр.,3/9,,А,Центральный,"2 комн., 3 комн.","1, 2","2, 6",Индивидуальный,1896,1976,5068.57,4200.67,208.1,5,5,130,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн.","1, 24, 25, 4","1, 48, 75, 16",5,"1976г. (2шт.), 1977г.(2 шт.)",2016 (1 ед.),2011г. (2шт.),550.0,21.10.2013,"ООО ""Жилкомсервис № 3 Центрального района""",0.0,,,,1726.3,5,5,1234.4,36,"г.Санкт-Петербург, Лиговский проспект, дом 3/9, литера А","59.937716082,30.364529158"
Коломенская ул.,23,,А,Центральный,"2 комн., 3 комн.","1, 3","2, 9",Индивидуальный,1869,1981,2839.5,2081.0,514.0,3,4,82,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","11, 9, 11","11, 18, 33",5,,,,435.0,21.10.2013,"ООО ""Жилкомсервис № 2 Центрального района""",0.0,,,,1196.0,,3,520.0,37,"г.Санкт-Петербург, Коломенская улица, дом 23, литера А","59.923616318,30.353059255"
8-я Советская ул.,38,,А,Центральный,"3 комн., 4 комн., 5 комн., 6 комн.","3, 1, 1, 3","9, 4, 5, 18",Индивидуальный,1907,,1980.84,1399.44,325.0,3,5,53,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 3 комн., 4 комн., 5 комн.","1, 3, 1, 1","1, 9, 4, 5",4,,,,323.0,21.10.2013,"ООО ""Жилкомсервис № 3 Центрального района""",0.0,,,,629.0,,3,60.0,38,"г.Санкт-Петербург, 8-я Советская улица, дом 38, литера А","59.935600028,30.377456201"
