addr_street,addr_number,addr_building,addr_letter,addr_district,comm_type,comm_num,comm_room_num,data_series,data_buildingdate,data_reconstructiondate,data_buildingarea,data_livingarea,data_nonolivingarea,data_stairs,data_storeys,data_residents,data_mansardarea,eng_heatingcentral,eng_heatingauto,eng_heatingfire,eng_hotwater,eng_hotwatergas,eng_hotwaterwood,eng_electro,eng_gascentral,eng_gasnoncentral,eng_refusechute,flat_type,flat_num,flat_room_num,internal_num,lift_exploitfromdate,lift_reconstructiondate,lift_repairdate,outclean_all,param_crdate,param_ukname,param_failure,repair_year,repair_job,rfc_shaftcount,roof_metalarea,seng_liftcount,seng_pzu,special_basementarea,number,address,coordinates
Обуховской Обороны пр.,121,,А,Невский,"3 комн., 4 комн.","5, 5","15, 20",Индивидуальный,1953,,2852.4,1904.5,599.6,2,5,87,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"2 комн., 3 комн., 4 комн.","4, 4, 3","8, 12, 12",2,,,,688.0,27.12.2012,"ООО ""Жилкомсервис № 1 Невского района""",0.0,,,,761.0,,2,309.5,17221,"г.Санкт-Петербург, проспект Обуховской Обороны, дом 121, литера А","59.892130592,30.439020718"
Римского-Корсакова пр.,61,,Б,Адмиралтейский,"3 комн., 4 комн., 5 комн.","4, 1, 1","12, 4, 5",Индивидуальный,1851,1952,846.0,654.4,75.6,1,4,31,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,3 комн.,1,3,1,,,,1295.0,30.05.2013,"ООО ""Жилкомсервис № 1 Адмиралтейского района""",0.0,2004; 2005; 2006; 2007; 2007; 2007; 2007; 2007; 2007; 2019,Расходы на изготовление проектно-сметной документации; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или восстановление внутридомовых инженерных систем; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт фасадов без утепления; Ремонт или замена системы канализования и водоотведения,,455.0,,1,,17222,"г.Санкт-Петербург, проспект Римского-Корсакова, дом 61, литера Б","59.922232183,30.290060113"
Галерная ул.,54,,Б,Адмиралтейский,3 комн.,0,0,индивидуальный,1828,1975,323.1,249.1,,1,3,126,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"2 комн., 3 комн., 4 комн.","0, 2, 1","0, 6, 4",,,,,634.0,30.05.2013,"ООО ""Жилкомсервис № 1 Адмиралтейского района""",0.0,2003; 2003; 2006; 2006; 2006; 2006; 2006; 2007; 2007; 2007; 2007; 2014; 2015; 2015; 2017; 2018; 2018,Ремонт или восстановление внутридомовых инженерных систем; Ремонт или замена системы горячего водоснабжения; Ремонт или восстановление внутридомовых инженерных систем; Ремонт или восстановление внутридомовых инженерных систем; Ремонт или замена системы горячего водоснабжения; Ремонт подвальных помещений; Ремонт фасадов без утепления; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или восстановление внутридомовых инженерных систем; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации; Ремонт или замена системы отопления; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы холодного водоснабжения,,210.0,,,,17223,"г.Санкт-Петербург, Галерная улица, дом 54, литера Б","59.930353851,30.28610689"
Культуры пр.,25,4,А,Калининский,3 комн.,4,12,,2001,,29341.3,22060.4,1714.8,5,17,955,,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","140, 96, 159, 3","140, 194, 462, 12",,"1999г.-рег.№№034170,034171,034192,034195,034193,034194,034190,034191,034172,034169",,,,31.10.2013,"ТСЖ ""Ключ""",0.0,,,5,,10,,1890.8,17224,"г.Санкт-Петербург, проспект Культуры, дом 25, корпус 4, литера А","60.047510675,30.379192054"
Демьяна Бедного ул.,28,1,А,Калининский,7 комн.,31,248,I-447с-54,1972,,7075.9,5833.6,724.9,2,9,291,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,,,,,2 шт.-н/д.,,,,31.10.2013,"ТСЖ ""Прогресс""",0.0,2018,Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов,2,,2,2,577.8,17225,"г.Санкт-Петербург, улица Демьяна Бедного, дом 28, корпус 1, литера А","60.046852633,30.389422243"
Садовая ул.,122,,Б,Адмиралтейский,"4 комн., 5 комн.","1, 1","4, 5",Индивидуальный,1841,,1828.4,1392.7,250.0,3,5,98,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","7, 14, 3","7, 28, 9",3,,,,,31.10.2013,"ООО ""Жилкомсервис №1 Адмиралтейского района""",0.0,2006; 2007,Ремонт или замена системы электроснабжения; Ремонт фасадов без утепления,,729.0,,,60.6,17226,"г.Санкт-Петербург, Садовая улица, дом 122, литера А","59.916682277,30.285144221"
Новоизмайловский пр.,79,,А,Московский,2 комн.,2,4,1 ЛГ-507-5,1960,,4877.0,4458.0,,5,5,230,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","35, 23, 40","35, 46, 120",,,,,,31.10.2013,"ООО ""Жилкомсервис № 3 Московского района""",0.0,2005; 2006; 2006; 2007,Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Асфальтирование и замощение придомовой территории,,,0.0,5,925.6,17227,"г.Санкт-Петербург, Новоизмайловский проспект, дом 79, литера А","59.856691601,30.303038627"
"пос. Лисий Нос, Ивановская ул.",12,4,А,Приморский,"2 комн., 3 комн.","2, 1","4, 3",,1959,,499.8,447.2,,1,2,29,,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,0.0,"2 комн., 3 комн.","4, 1","8, 3",,,,,,31.10.2013,"ООО ""Жилкомсервис №1 Приморского района""",0.0,2006; 2016,Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш,,399.8,,,,17228,"Санкт-Петербург, посёлок Лисий Нос, Ивановская улица, дом 12, корпус 4, литера А","60.015070143,30.021482916"
Торжковская ул.,7,,А,Приморский,,,,Индивидуальный,1962,,5724.1,3818.1,1329.6,6,5,188,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","28, 23, 35","28, 46, 105",,,,,904.0,16.03.2010,"ООО ""Жилкомсервис №2 Приморского района""",0.0,2007; 2007; 2007; 2007; 2007; 2007; 2008,разные виды работ/замена розливов ГВС; разные виды работ/замена розливов ХВС; разные виды работ/замена розливов ЦО; разные виды работ/замена трубопроводов канализации в подвале; разные виды работ/замена электросетей в подвале; разные виды работ/установка узлов учета; Ремонт или замена системы электроснабжения,,,,6,1418.0,17229,"г.Санкт-Петербург, Торжковская улица, дом 7, литера А","59.989039918,30.311901784"
Танкиста Хрустицкого ул.,62,,А,Кировский,,,,"индивидуальный, шифр 3561-10",1999,,26543.28,21106.78,2307.3,7,10,1173,,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн.","41, 74, 78, 21, 6, 2","41, 148, 234, 84, 30, 12",,"034766, 034767, 034768, 034769, 034770, 034771, 034772 - 1999 г.",,,,31.10.2013,"ТСЖ ""Дом со львами""",0.0,,,7,,7,,2512.9,17230,"г.Санкт-Петербург, улица Танкиста Хрустицкого, дом 62, литера А","59.837777685,30.253405321"
"пос. Понтонный, Парковая ул.",1,,А,Колпинский,,,,инд,1981,,4867.1,4201.1,,6,5,245,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","30, 36, 24","30, 72, 72",,,,,3612.0,07.02.2013,"ООО ""Гарант-Сервис""",0.0,,,,,,6,1279.0,17231,"Санкт-Петербург, посёлок Понтонный, Парковая улица, дом 1, литера А","59.788270528,30.613141565"
Васенко ул.,5/15,,А,Калининский,,,,1-528-КП-3Э,1961,,3778.9,3453.5,,4,5,175,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","30, 20, 30","30, 40, 90",3,,,,581.0,07.12.2008,ООО «Жилкомсервис № 3 Калининского района»,0.0,2008; 2009,Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы холодного водоснабжения,,1153.0,,4,916.0,17232,"г.Санкт-Петербург, улица Васенко, дом 5/15, литера А","59.969989604,30.392137734"
Северный пр.,61,4,А,Калининский,,,,1-ЛГ-507-6,1967,,5871.5,5406.5,,6,5,375,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн.","10, 88, 18, 2","10, 176, 54, 8",,,,,3271.0,21.10.2013,ЖСК-444,0.0,,,,,,6,1081.0,17233,"г.Санкт-Петербург, Северный проспект, дом 61, корпус 4, литера А","60.022587854,30.397549608"
Тореза пр.,104,3,А,Выборгский,,,,1-528-КП-40,1964,,2386.58,1961.38,,1,9,110,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,1,"1 комн., 2 комн., 3 комн.","18, 18, 9","18, 36, 27",,1964,2012,,1675.7,21.10.2013,ЖСК № 78,0.0,,,1,,1,1,312.4,17234,"г.Санкт-Петербург, проспект Тореза, дом 104, корпус 3, литера А","60.019855099,30.327951327"
Костромской пр.,10,,А,Выборгский,,,,,2014,,16206.4,10886.1,2827.1,4,9,634,,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","100, 74, 22, 2","100, 148, 66, 8",,,,,,,"ООО ""ЮИТ Сервис""",0.0,,,,,4,4,,17235,"г.Санкт-Петербург, Костромской проспект, дом 10, литера А","60.012819037,30.318138884"
6-я Советская ул.,35,,А,Центральный,,,,Индивидуальный,1969,,662.1,592.7,0.0,1,5,28,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"2 комн., 3 комн.","9, 3","18, 9",,,,,500.0,21.10.2013,"ООО ""Жилкомсервис № 3 Центрального района""",0.0,,,,291.2,,1,195.2,17236,"г.Санкт-Петербург, 6-я Советская улица, дом 35, литера А","59.933567301,30.375610679"
"г. Пушкин, Гусарская ул.",4,8,А,Пушкинский,,,,Индивидуальный,2007,,3211.0,2760.3,,2,5,125,,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,"1 комн., 2 комн., 3 комн.","10, 10, 25","10, 20, 75",,,,,,25.09.2012,"ООО ""Доверие""",0.0,,,,,,2,571.0,17237,"Санкт-Петербург, город Пушкин, Гусарская улица, дом 4, корпус 8, литера А","59.706814059,30.384936899"
"г. Красное Село, Освобождения ул.",31,3,А,Красносельский,,,,индивидуальный проект,2011,,8591.8,6972.4,0.0,3,9,229,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","54, 1, 18, 35","54, 2, 54, 140",0.0,"2012г. (№ 148410, 148415, 148409)",,,,31.10.2013,"ООО ""A&E ""Управляющая Компания ""Уютный дом""",0.0,,,,,3,3,858.4,17238,"Санкт-Петербург, город Красное Село, улица Освобождения, дом 31, корпус 3, литера А","59.745266959,30.078973754"
